SK_ID_CURR,TARGET
100001,0.9
100005,0.8
100013,0.9
100028,0.9
100038,0.9
100042,0.9
100057,0.9
100065,0.9
100066,0.9
100067,0.8
100074,0.8
100090,0.8
100091,0.9
100092,0.8
100106,0.9
100107,0.8
100109,0.8
100117,0.9
100128,0.9
100141,0.9
100150,0.9
100168,0.8
100169,1.0
100170,0.9
100171,0.9
100172,0.8
100184,0.8
100187,0.9
100212,0.9
100222,0.9
100223,0.9
100232,0.9
100241,0.8
100245,0.8
100253,1.0
100256,0.9
100271,0.9
100278,0.8
100280,0.9
100306,0.8
100311,0.8
100312,0.9
100330,0.8
100331,1.0
100352,0.9
100358,0.8
100367,0.9
100382,0.8
100384,0.9
100385,0.8
100386,0.9
100399,0.9
100404,0.9
100416,0.9
100422,0.9
100426,0.8
100438,0.9
100444,0.8
100445,0.9
100446,0.8
100447,0.9
100450,0.9
100466,0.8
100483,0.9
100484,0.9
100494,0.8
100510,0.9
100512,0.8
100517,0.9
100548,0.8
100551,0.9
100552,0.8
100553,0.9
100561,0.9
100568,0.8
100569,0.8
100591,0.9
100592,0.9
100602,0.9
100607,0.9
100613,0.9
100617,0.8
100618,0.8
100622,0.8
100625,0.9
100677,0.8
100699,0.9
100702,0.8
100711,0.8
100729,0.9
100740,0.9
100744,0.9
100745,0.9
100747,0.9
100751,0.7
100752,0.9
100753,0.9
100754,0.9
100760,0.9
100762,0.9
100763,0.8
100765,0.9
100770,0.9
100772,0.8
100777,0.9
100791,0.9
100792,0.9
100797,0.9
100823,0.9
100826,0.9
100830,0.9
100836,0.8
100872,0.9
100910,0.9
100913,1.0
100918,1.0
100931,0.9
100952,0.9
100953,0.9
100965,0.9
100970,0.9
100982,0.9
100983,0.9
100984,0.9
100987,0.9
100997,0.9
100998,0.8
101002,0.9
101005,0.8
101008,0.9
101020,0.9
101021,0.9
101024,0.8
101025,0.9
101026,0.8
101031,0.8
101041,0.9
101051,0.9
101055,0.9
101056,0.8
101057,0.9
101064,0.9
101079,0.9
101087,0.9
101090,0.8
101092,0.9
101097,0.9
101099,0.9
101107,0.9
101118,0.9
101125,0.9
101126,0.8
101128,0.9
101136,0.9
101140,0.8
101149,0.9
101160,0.8
101169,0.8
101181,0.8
101186,0.9
101190,0.9
101193,0.9
101194,0.8
101198,0.9
101200,0.8
101204,0.9
101211,0.9
101213,0.9
101223,0.9
101225,0.9
101237,0.9
101243,0.9
101244,0.9
101258,0.9
101259,0.9
101268,0.9
101269,0.9
101271,0.8
101279,0.8
101281,0.8
101287,0.9
101292,0.8
101294,0.7
101296,0.9
101297,0.9
101299,0.8
101301,0.9
101305,0.9
101308,0.9
101318,0.9
101327,0.8
101329,0.9
101332,0.9
101337,0.9
101343,0.9
101345,0.9
101346,0.9
101353,0.9
101354,0.9
101355,0.8
101356,0.9
101362,0.8
101363,0.7
101365,0.8
101366,0.9
101367,0.8
101368,0.8
101374,0.8
101380,0.9
101383,0.9
101398,0.9
101399,0.8
101401,0.9
